merged_spelling,ipa,langid,spelling_pretrain,langid_pretrain
{geo}დამწყები,d ɑ m t͡sʼ qʼ ɛ b i,0,დამწყები,0
{geo}დამხმარე,d ɑ m x m ɑ r ɛ,0,დამხმარე,0
{geo}დამჯერი,d ɑ m d͡ʒ ɛ r i,0,დამჯერი,0
{geo}დანაოჭებული,d ɑ n ɑ ɔ t͡ʃʼ ɛ b u l i,0,დანაოჭებული,0
{geo}დანაშაულებრივად,d ɑ n ɑ ʃ ɑ u l ɛ b r i v ɑ d,0,დანაშაულებრივად,0
{geo}დანაშაული,d ɑ n ɑ ʃ ɑ u l i,0,დანაშაული,0
{geo}დანგრეული,d ɑ n ɡ r ɛ u l i,0,დანგრეული,0
{geo}დანია,d ɑ n i ɑ,0,დანია,0
{geo}დანიური,d ɑ n i u r i,0,დანიური,0
{geo}დანიშვნა,d ɑ n i ʃ v n ɑ,0,დანიშვნა,0
{geo}დანიშნული,d ɑ n i ʃ n u l i,0,დანიშნული,0
{geo}დაობლება,d ɑ ɔ b l ɛ b ɑ,0,დაობლება,0
{geo}დაპყრობა,d ɑ pʼ qʼ r ɔ b ɑ,0,დაპყრობა,0
{geo}დაჟე,d ɑ ʒ ɛ,0,დაჟე,0
{geo}დაჟინებით,d ɑ ʒ i n ɛ b i tʰ,0,დაჟინებით,0
{geo}დაჟინებული,d ɑ ʒ i n ɛ b u l i,0,დაჟინებული,0
{geo}დარაჯი,d ɑ r ɑ d͡ʒ i,0,დარაჯი,0
{geo}დარგი,d ɑ r ɡ i,0,დარგი,0
{geo}დარდი,d ɑ r d i,0,დარდი,0
{geo}დარდუბალა,d ɑ r d u b ɑ l ɑ,0,დარდუბალა,0
{geo}დარიჩინი,d ɑ r i t͡ʃ i n i,0,დარიჩინი,0
{geo}დარქმევა,d ɑ r kʰ m ɛ v ɑ,0,დარქმევა,0
{geo}დარჩება,d ɑ r t͡ʃ ɛ b ɑ,0,დარჩება,0
{geo}დარჩენილი,d ɑ r t͡ʃ ɛ n i l i,0,დარჩენილი,0
{geo}დარწმუნებული,d ɑ r t͡sʼ m u n ɛ b u l i,0,დარწმუნებული,0
{geo}დასაბუთებული,d ɑ s ɑ b u tʰ ɛ b u l i,0,დასაბუთებული,0
{geo}დასავლეთი,d ɑ s ɑ v l ɛ tʰ i,0,დასავლეთი,0
{geo}დასავლეთით,d ɑ s ɑ v l ɛ tʰ i tʰ,0,დასავლეთით,0
{geo}დასავლური,d ɑ s ɑ v l u r i,0,დასავლური,0
{geo}დასამშვიდებლად,d ɑ s ɑ m ʃ v i d ɛ b l ɑ d,0,დასამშვიდებლად,0
{geo}დასასრული,d ɑ s ɑ s r u l i,0,დასასრული,0
{geo}დასასჯელი,d ɑ s ɑ s d͡ʒ ɛ l i,0,დასასჯელი,0
{geo}დასაფლავება,d ɑ s ɑ pʰ l ɑ v ɛ b ɑ,0,დასაფლავება,0
{geo}დასაშლელი,d ɑ s ɑ ʃ l ɛ l i,0,დასაშლელი,0
{geo}დასახელება,d ɑ s ɑ x ɛ l ɛ b ɑ,0,დასახელება,0
{geo}დასახლებული,d ɑ s ɑ x l ɛ b u l i,0,დასახლებული,0
{geo}დასაჯერებელი,d ɑ s ɑ d͡ʒ ɛ r ɛ b ɛ l i,0,დასაჯერებელი,0
{geo}დასველებული,d ɑ s v ɛ l ɛ b u l i,0,დასველებული,0
{geo}დასვენება,d ɑ s v ɛ n ɛ b ɑ,0,დასვენება,0
{geo}დასკვნითი,d ɑ s kʼ v n i tʰ i,0,დასკვნითი,0
{geo}დასრულდება,d ɑ s r u l d ɛ b ɑ,0,დასრულდება,0
{geo}დასტა,d ɑ s tʼ ɑ,0,დასტა,0
{geo}დასტური,d ɑ s tʼ u r i,0,დასტური,0
{geo}დასხმა,d ɑ s x m ɑ,0,დასხმა,0
{geo}დასჯა,d ɑ s d͡ʒ ɑ,0,დასჯა,0
{geo}დატბორილი,d ɑ tʼ b ɔ r i l i,0,დატბორილი,0
{geo}დატვირთული,d ɑ tʼ v i r tʰ u l i,0,დატვირთული,0
{geo}დაუახლოვდება,d ɑ u ɑ x l ɔ v d ɛ b ɑ,0,დაუახლოვდება,0
{geo}დაუბეგრავი,d ɑ u b ɛ ɡ r ɑ v i,0,დაუბეგრავი,0
{geo}დაუბრუნდება,d ɑ u b r u n d ɛ b ɑ,0,დაუბრუნდება,0
{geo}დაუგეგმავი,d ɑ u ɡ ɛ ɡ m ɑ v i,0,დაუგეგმავი,0
{geo}დაუდევარი,d ɑ u d ɛ v ɑ r i,0,დაუდევარი,0
{geo}დაუდევრად,d ɑ u d ɛ v r ɑ d,0,დაუდევრად,0
{geo}დაუდევრობა,d ɑ u d ɛ v r ɔ b ɑ,0,დაუდევრობა,0
{geo}დაუვიწყარი,d ɑ u v i t͡sʼ qʼ ɑ r i,0,დაუვიწყარი,0
{geo}დაუზღვეველი,d ɑ u z ɣ v ɛ v ɛ l i,0,დაუზღვეველი,0
{geo}დაუთმობს,d ɑ u tʰ m ɔ b s,0,დაუთმობს,0
{geo}დაუმარცხებლად,d ɑ u m ɑ r t͡s x ɛ b l ɑ d,0,დაუმარცხებლად,0
{geo}დაუნომრავი,d ɑ u n ɔ m r ɑ v i,0,დაუნომრავი,0
{geo}დაუოკებელი,d ɑ u ɔ kʼ ɛ b ɛ l i,0,დაუოკებელი,0
{geo}დაუსრულებელი,d ɑ u s r u l ɛ b ɛ l i,0,დაუსრულებელი,0
{geo}დაუსრულებლად,d ɑ u s r u l ɛ b l ɑ d,0,დაუსრულებლად,0
{geo}დაუსჯელად,d ɑ u s d͡ʒ ɛ l ɑ d,0,დაუსჯელად,0
{geo}დაუსჯელი,d ɑ u s d͡ʒ ɛ l i,0,დაუსჯელი,0
{geo}დაუსჯელობა,d ɑ u s d͡ʒ ɛ l ɔ b ɑ,0,დაუსჯელობა,0
{geo}დაუტოვებიათ,d ɑ u tʼ ɔ v ɛ b i ɑ tʰ,0,დაუტოვებიათ,0
{geo}დაუფარავად,d ɑ u pʰ ɑ r ɑ v ɑ d,0,დაუფარავად,0
{geo}დაუფარავი,d ɑ u pʰ ɑ r ɑ v i,0,დაუფარავი,0
{geo}დაუფასებელი,d ɑ u pʰ ɑ s ɛ b ɛ l i,0,დაუფასებელი,0
{geo}დაუფიქრებელი,d ɑ u pʰ i kʰ r ɛ b ɛ l i,0,დაუფიქრებელი,0
{geo}დაუფიქრებლად,d ɑ u pʰ i kʰ r ɛ b l ɑ d,0,დაუფიქრებლად,0
{geo}დაუფლება,d ɑ u pʰ l ɛ b ɑ,0,დაუფლება,0
{geo}დაუქორწინებელი,d ɑ u kʰ ɔ r t͡sʼ i n ɛ b ɛ l i,0,დაუქორწინებელი,0
{geo}დაუღალავი,d ɑ u ɣ ɑ l ɑ v i,0,დაუღალავი,0
{geo}დაუყოვნებლად,d ɑ u qʼ ɔ v n ɛ b l ɑ d,0,დაუყოვნებლად,0
{geo}დაუშვებელი,d ɑ u ʃ v ɛ b ɛ l i,0,დაუშვებელი,0
{geo}დაუძლეველი,d ɑ u d͡z l ɛ v ɛ l i,0,დაუძლეველი,0
{geo}დაუძლურებული,d ɑ u d͡z l u r ɛ b u l i,0,დაუძლურებული,0
{geo}დაუჯერებლად,d ɑ u d͡ʒ ɛ r ɛ b l ɑ d,0,დაუჯერებლად,0
{geo}დაუჯერებლობა,d ɑ u d͡ʒ ɛ r ɛ b l ɔ b ɑ,0,დაუჯერებლობა,0
{geo}დაფარვა,d ɑ pʰ ɑ r v ɑ,0,დაფარვა,0
{geo}დაფასოებული,d ɑ pʰ ɑ s ɔ ɛ b u l i,0,დაფასოებული,0
{geo}დაფიქრებული,d ɑ pʰ i kʰ r ɛ b u l i,0,დაფიქრებული,0
{geo}დაფნა,d ɑ pʰ n ɑ,0,დაფნა,0
{geo}დაქვრივებული,d ɑ kʰ v r i v ɛ b u l i,0,დაქვრივებული,0
{geo}დაქირავებული,d ɑ kʰ i r ɑ v ɛ b u l i,0,დაქირავებული,0
{geo}დაქსაქსულობა,d ɑ kʰ s ɑ kʰ s u l ɔ b ɑ,0,დაქსაქსულობა,0
{geo}დაქტილური,d ɑ kʰ tʼ i l u r i,0,დაქტილური,0
{geo}დაღეჭილი,d ɑ ɣ ɛ t͡ʃʼ i l i,0,დაღეჭილი,0
{geo}დაღვრემილი,d ɑ ɣ v r ɛ m i l i,0,დაღვრემილი,0
{geo}დაღლილი,d ɑ ɣ l i l i,0,დაღლილი,0
{geo}დაღლილობა,d ɑ ɣ l i l ɔ b ɑ,0,დაღლილობა,0
{geo}დაშლა,d ɑ ʃ l ɑ,0,დაშლა,0
{geo}დაშორებით,d ɑ ʃ ɔ r ɛ b i tʰ,0,დაშორებით,0
{geo}დაშორებული,d ɑ ʃ ɔ r ɛ b u l i,0,დაშორებული,0
{geo}დაცდილი,d ɑ t͡s d i l i,0,დაცდილი,0
{geo}დაცვა,d ɑ t͡s v ɑ,0,დაცვა,0
{geo}დაცვამ,d ɑ t͡s v ɑ m,0,დაცვამ,0
{geo}დაცვას,d ɑ t͡s v ɑ s,0,დაცვას,0
{geo}დაცვის,d ɑ t͡s v i s,0,დაცვის,0
{geo}დაცინვით,d ɑ t͡s i n v i tʰ,0,დაცინვით,0
{geo}დაცული,d ɑ t͡s u l i,0,დაცული,0
{geo}დაცულობა,d ɑ t͡s u l ɔ b ɑ,0,დაცულობა,0
{geo}დაძაბულად,d ɑ d͡z ɑ b u l ɑ d,0,დაძაბულად,0
{geo}დაძაბული,d ɑ d͡z ɑ b u l i,0,დაძაბული,0
{geo}დაძაბულობა,d ɑ d͡z ɑ b u l ɔ b ɑ,0,დაძაბულობა,0
{geo}დაძინება,d ɑ d͡z i n ɛ b ɑ,0,დაძინება,0
{geo}დაწერილი,d ɑ t͡sʼ ɛ r i l i,0,დაწერილი,0
{geo}დაწერს,d ɑ t͡sʼ ɛ r s,0,დაწერს,0
{geo}დაწესებულება,d ɑ t͡sʼ ɛ s ɛ b u l ɛ b ɑ,0,დაწესებულება,0
{geo}დაწვა,d ɑ t͡sʼ v ɑ,0,დაწვა,0
{geo}დაწინდული,d ɑ t͡sʼ i n d u l i,0,დაწინდული,0
{geo}დაწყებითი,d ɑ t͡sʼ qʼ ɛ b i tʰ i,0,დაწყებითი,0
{geo}დაწყევლილი,d ɑ t͡sʼ qʼ ɛ v l i l i,0,დაწყევლილი,0
{geo}დაჭერა,d ɑ t͡ʃʼ ɛ r ɑ,0,დაჭერა,0
{geo}დაჭერობანა,d ɑ t͡ʃʼ ɛ r ɔ b ɑ n ɑ,0,დაჭერობანა,0
{geo}დაჭიმული,d ɑ t͡ʃʼ i m u l i,0,დაჭიმული,0
{geo}დაჭყლეტილი,d ɑ t͡ʃʼ qʼ l ɛ tʼ i l i,0,დაჭყლეტილი,0
{geo}დახვეული,d ɑ x v ɛ u l i,0,დახვეული,0
{geo}დახვეწილად,d ɑ x v ɛ t͡sʼ i l ɑ d,0,დახვეწილად,0
{geo}დახვეწილი,d ɑ x v ɛ t͡sʼ i l i,0,დახვეწილი,0
{geo}დახმარება,d ɑ x m ɑ r ɛ b ɑ,0,დახმარება,0
{geo}დახმარებამ,d ɑ x m ɑ r ɛ b ɑ m,0,დახმარებამ,0
{geo}დახმარებას,d ɑ x m ɑ r ɛ b ɑ s,0,დახმარებას,0
{geo}დახმარებით,d ɑ x m ɑ r ɛ b i tʰ,0,დახმარებით,0
{geo}დახურული,d ɑ x u r u l i,0,დახურული,0
{geo}დახუჭობანა,d ɑ x u t͡ʃʼ ɔ b ɑ n ɑ,0,დახუჭობანა,0
{geo}დაჯერებული,d ɑ d͡ʒ ɛ r ɛ b u l i,0,დაჯერებული,0
{geo}დგუში,d ɡ u ʃ i,0,დგუში,0
{geo}დე,d ɛ,0,დე,0
{geo}დეა,d ɛ ɑ,0,დეა,0
{geo}დება,d ɛ b ɑ,0,დება,0
{geo}დები,d ɛ b i,0,დები,0
{geo}დებილი,d ɛ b i l i,0,დებილი,0
{geo}დებიუტანტი,d ɛ b i u tʼ ɑ n tʼ i,0,დებიუტანტი,0
{geo}დებიუტი,d ɛ b i u tʼ i,0,დებიუტი,0
{geo}დეგენერატი,d ɛ ɡ ɛ n ɛ r ɑ tʼ i,0,დეგენერატი,0
{geo}დედა,d ɛ d ɑ,0,დედა,0
{geo}დედამ,d ɛ d ɑ m,0,დედამ,0
{geo}დედამთილი,d ɛ d ɑ m tʰ i l i,0,დედამთილი,0
{geo}დედამიწა,d ɛ d ɑ m i t͡sʼ ɑ,0,დედამიწა,0
{geo}დედამიწად,d ɛ d ɑ m i t͡sʼ ɑ d,0,დედამიწად,0
{geo}დედამიწამ,d ɛ d ɑ m i t͡sʼ ɑ m,0,დედამიწამ,0
{geo}დედამიწას,d ɛ d ɑ m i t͡sʼ ɑ s,0,დედამიწას,0
{geo}დედამიწის,d ɛ d ɑ m i t͡sʼ i s,0,დედამიწის,0
{geo}დედაქალაქი,d ɛ d ɑ kʰ ɑ l ɑ kʰ i,0,დედაქალაქი,0
{geo}დედინაცვალი,d ɛ d i n ɑ t͡s v ɑ l i,0,დედინაცვალი,0
{geo}დედობა,d ɛ d ɔ b ɑ,0,დედობა,0
{geo}დევალვაცია,d ɛ v ɑ l v ɑ t͡s i ɑ,0,დევალვაცია,0
{geo}დევი,d ɛ v i,0,დევი,0
{geo}დევიზი,d ɛ v i z i,0,დევიზი,0
{geo}დევნება,d ɛ v n ɛ b ɑ,0,დევნება,0
{geo}დევს,d ɛ v s,0,დევს,0
{geo}დეზინფექცია,d ɛ z i n pʰ ɛ kʰ t͡s i ɑ,0,დეზინფექცია,0
{geo}დეზურა,d ɛ z u r ɑ,0,დეზურა,0
{geo}დეიდა,d ɛ i d ɑ,0,დეიდა,0
{geo}დეკადენტი,d ɛ kʼ ɑ d ɛ n tʼ i,0,დეკადენტი,0
{geo}დეკანი,d ɛ kʼ ɑ n i,0,დეკანი,0
{geo}დეკორატიული,d ɛ kʼ ɔ r ɑ tʼ i u l i,0,დეკორატიული,0
{geo}დეკორაცია,d ɛ kʼ ɔ r ɑ t͡s i ɑ,0,დეკორაცია,0
{geo}დეკრეტი,d ɛ kʼ r ɛ tʼ i,0,დეკრეტი,0
{geo}დელეგატი,d ɛ l ɛ ɡ ɑ tʼ i,0,დელეგატი,0
{geo}დელეგაცია,d ɛ l ɛ ɡ ɑ t͡s i ɑ,0,დელეგაცია,0
{geo}დელფინი,d ɛ l pʰ i n i,0,დელფინი,0
{geo}დემაგოგი,d ɛ m ɑ ɡ ɔ ɡ i,0,დემაგოგი,0
{geo}დემაგოგია,d ɛ m ɑ ɡ ɔ ɡ i ɑ,0,დემაგოგია,0
{geo}დემაგოგიური,d ɛ m ɑ ɡ ɔ ɡ i u r i,0,დემაგოგიური,0
{geo}დემარკაცია,d ɛ m ɑ r kʼ ɑ t͡s i ɑ,0,დემარკაცია,0
{geo}დემეტრე,d ɛ m ɛ tʼ r ɛ,0,დემეტრე,0
{geo}დემოგრაფია,d ɛ m ɔ ɡ r ɑ pʰ i ɑ,0,დემოგრაფია,0
{geo}დემოგრაფიული,d ɛ m ɔ ɡ r ɑ pʰ i u l i,0,დემოგრაფიული,0
{geo}დემოკრატი,d ɛ m ɔ kʼ r ɑ tʼ i,0,დემოკრატი,0
{geo}დემოკრატიულად,d ɛ m ɔ kʼ r ɑ tʼ i u l ɑ d,0,დემოკრატიულად,0
{geo}დემოკრატიული,d ɛ m ɔ kʼ r ɑ tʼ i u l i,0,დემოკრატიული,0
{geo}დემონი,d ɛ m ɔ n i,0,დემონი,0
{geo}დემონსტრაცია,d ɛ m ɔ n s tʼ r ɑ t͡s i ɑ,0,დემონსტრაცია,0
{geo}დემონტაჟი,d ɛ m ɔ n tʼ ɑ ʒ i,0,დემონტაჟი,0
{geo}დენთი,d ɛ n tʰ i,0,დენთი,0
{geo}დეპეშა,d ɛ pʼ ɛ ʃ ɑ,0,დეპეშა,0
{geo}დეპოზიტი,d ɛ pʼ ɔ z i tʼ i,0,დეპოზიტი,0
{geo}დეპორტაცია,d ɛ pʼ ɔ r tʼ ɑ t͡s i ɑ,0,დეპორტაცია,0
{geo}დეპრესია,d ɛ pʼ r ɛ s i ɑ,0,დეპრესია,0
{geo}დერბი,d ɛ r b i,0,დერბი,0
{geo}დერეფანი,d ɛ r ɛ pʰ ɑ n i,0,დერეფანი,0
{geo}დესერტი,d ɛ s ɛ r tʼ i,0,დესერტი,0
{geo}დესპანი,d ɛ s pʼ ɑ n i,0,დესპანი,0
{geo}დესპოტიზმი,d ɛ s pʼ ɔ tʼ i z m i,0,დესპოტიზმი,0
{geo}დეტალი,d ɛ tʼ ɑ l i,0,დეტალი,0
{geo}დეტალურად,d ɛ tʼ ɑ l u r ɑ d,0,დეტალურად,0
{geo}დეტალური,d ɛ tʼ ɑ l u r i,0,დეტალური,0
{geo}დეტექტივი,d ɛ tʼ ɛ kʰ tʼ i v i,0,დეტექტივი,0
{geo}დეფექტი,d ɛ pʰ ɛ kʰ tʼ i,0,დეფექტი,0
{geo}დეფიციტი,d ɛ pʰ i t͡s i tʼ i,0,დეფიციტი,0
{geo}დეფლაცია,d ɛ pʰ l ɑ t͡s i ɑ,0,დეფლაცია,0
{geo}დეფლაციური,d ɛ pʰ l ɑ t͡s i u r i,0,დეფლაციური,0
{geo}დვალიშვილი,d v ɑ l i ʃ v i l i,0,დვალიშვილი,0
{geo}დიაბეტური,d i ɑ b ɛ tʼ u r i,0,დიაბეტური,0
{geo}დიაგნოზი,d i ɑ ɡ n ɔ z i,0,დიაგნოზი,0
{geo}დიაგონალი,d i ɑ ɡ ɔ n ɑ l i,0,დიაგონალი,0
{geo}დიაგონალური,d i ɑ ɡ ɔ n ɑ l u r i,0,დიაგონალური,0
{geo}დიაგრამა,d i ɑ ɡ r ɑ m ɑ,0,დიაგრამა,0
{geo}დიადი,d i ɑ d i,0,დიადი,0
{geo}დიალოგი,d i ɑ l ɔ ɡ i,0,დიალოგი,0
{geo}დიანა,d i ɑ n ɑ,0,დიანა,0
{geo}დიაპაზონი,d i ɑ pʼ ɑ z ɔ n i,0,დიაპაზონი,0
{geo}დიარეა,d i ɑ r ɛ ɑ,0,დიარეა,0
{geo}დიასახლისი,d i ɑ s ɑ x l i s i,0,დიასახლისი,0
{geo}დიასპორა,d i ɑ s pʼ ɔ r ɑ,0,დიასპორა,0
{geo}დიახ,d i ɑ x,0,დიახ,0
{geo}დიდაქტიკური,d i d ɑ kʰ tʼ i kʼ u r i,0,დიდაქტიკური,0
{geo}დიდებულად,d i d ɛ b u l ɑ d,0,დიდებულად,0
{geo}დიდებულები,d i d ɛ b u l ɛ b i,0,დიდებულები,0
{geo}დიდებული,d i d ɛ b u l i,0,დიდებული,0
{geo}დიდებულიძე,d i d ɛ b u l i d͡z ɛ,0,დიდებულიძე,0
{geo}დიდი,d i d i,0,დიდი,0
{geo}დიდმოწამე,d i d m ɔ t͡sʼ ɑ m ɛ,0,დიდმოწამე,0
{geo}დიდსულოვანი,d i d s u l ɔ v ɑ n i,0,დიდსულოვანი,0
{geo}დიდსულოვნება,d i d s u l ɔ v n ɛ b ɑ,0,დიდსულოვნება,0
{geo}დიდძალი,d i d d͡z ɑ l i,0,დიდძალი,0
{geo}დიდხანს,d i d x ɑ n s,0,დიდხანს,0
{geo}დიეზი,d i ɛ z i,0,დიეზი,0
{geo}დიეტა,d i ɛ tʼ ɑ,0,დიეტა,0
{geo}დიეტური,d i ɛ tʼ u r i,0,დიეტური,0
{geo}დივერსანტი,d i v ɛ r s ɑ n tʼ i,0,დივერსანტი,0
{geo}დივიდენდი,d i v i d ɛ n d i,0,დივიდენდი,0
{geo}დიზაინი,d i z ɑ i n i,0,დიზაინი,0
{geo}დიზელი,d i z ɛ l i,0,დიზელი,0
{geo}დიზენტერია,d i z ɛ n tʼ ɛ r i ɑ,0,დიზენტერია,0
{geo}დიკი,d i kʼ i,0,დიკი,0
{geo}დილა,d i l ɑ,0,დილა,0
{geo}დილემა,d i l ɛ m ɑ,0,დილემა,0
{geo}დილეტანტური,d i l ɛ tʼ ɑ n tʼ u r i,0,დილეტანტური,0
{geo}დილით,d i l i tʰ,0,დილით,0
{geo}დიმიტრი,d i m i tʼ r i,0,დიმიტრი,0
{geo}დინამიზმი,d i n ɑ m i z m i,0,დინამიზმი,0
{geo}დინამიკა,d i n ɑ m i kʼ ɑ,0,დინამიკა,0
{geo}დინამიკურად,d i n ɑ m i kʼ u r ɑ d,0,დინამიკურად,0
{geo}დინამიკური,d i n ɑ m i kʼ u r i,0,დინამიკური,0
{geo}დინარი,d i n ɑ r i,0,დინარი,0
{geo}დინასტია,d i n ɑ s tʼ i ɑ,0,დინასტია,0
{geo}დინასტიური,d i n ɑ s tʼ i u r i,0,დინასტიური,0
{geo}დინება,d i n ɛ b ɑ,0,დინება,0
{geo}დინი,d i n i,0,დინი,0
{geo}დინოზავრი,d i n ɔ z ɑ v r i,0,დინოზავრი,0
{geo}დინჯად,d i n d͡ʒ ɑ d,0,დინჯად,0
{geo}დინჯი,d i n d͡ʒ i,0,დინჯი,0
{geo}დიპლომატი,d i pʼ l ɔ m ɑ tʼ i,0,დიპლომატი,0
{geo}დიპლომატია,d i pʼ l ɔ m ɑ tʼ i ɑ,0,დიპლომატია,0
{geo}დიპლომატიურად,d i pʼ l ɔ m ɑ tʼ i u r ɑ d,0,დიპლომატიურად,0
{geo}დიპლომატიური,d i pʼ l ɔ m ɑ tʼ i u r i,0,დიპლომატიური,0
{geo}დიპლომი,d i pʼ l ɔ m i,0,დიპლომი,0
{geo}დირექტორატი,d i r ɛ kʰ tʼ ɔ r ɑ tʼ i,0,დირექტორატი,0
{geo}დირექტორი,d i r ɛ kʰ tʼ ɔ r i,0,დირექტორი,0
{geo}დირექტორობა,d i r ɛ kʰ tʼ ɔ r ɔ b ɑ,0,დირექტორობა,0
{geo}დირიჟაბლი,d i r i ʒ ɑ b l i,0,დირიჟაბლი,0
{geo}დისერტაცია,d i s ɛ r tʼ ɑ t͡s i ɑ,0,დისერტაცია,0
{geo}დისკი,d i s kʼ i,0,დისკი,0
{geo}დისკომფორტი,d i s kʼ ɔ m pʰ ɔ r tʼ i,0,დისკომფორტი,0
{geo}დისკრეტული,d i s kʼ r ɛ tʼ u l i,0,დისკრეტული,0
{geo}დისკუსია,d i s kʼ u s i ɑ,0,დისკუსია,0
{geo}დისონანსი,d i s ɔ n ɑ n s i,0,დისონანსი,0
{geo}დისშვილი,d i s ʃ v i l i,0,დისშვილი,0
{geo}დისციპლინა,d i s t͡s i pʼ l i n ɑ,0,დისციპლინა,0
{geo}დისწული,d i s t͡sʼ u l i,0,დისწული,0
{geo}დიუსელდორფი,d i u s ɛ l d ɔ r pʰ i,0,დიუსელდორფი,0
{geo}დიფერენციალი,d i pʰ ɛ r ɛ n t͡s i ɑ l i,0,დიფერენციალი,0
{geo}დიქტატორი,d i kʰ tʼ ɑ tʼ ɔ r i,0,დიქტატორი,0
{geo}დიქტატორული,d i kʰ tʼ ɑ tʼ ɔ r u l i,0,დიქტატორული,0
{geo}დიქტატურა,d i kʰ tʼ ɑ tʼ u r ɑ,0,დიქტატურა,0
{geo}დიქტორი,d i kʰ tʼ ɔ r i,0,დიქტორი,0
{geo}დნობა,d n ɔ b ɑ,0,დნობა,0
{geo}დოგმა,d ɔ ɡ m ɑ,0,დოგმა,0
{geo}დოზა,d ɔ z ɑ,0,დოზა,0
{geo}დოკუმენტაცია,d ɔ kʼ u m ɛ n tʼ ɑ t͡s i ɑ,0,დოკუმენტაცია,0
{geo}დოკუმენტი,d ɔ kʼ u m ɛ n tʼ i,0,დოკუმენტი,0
{geo}დოკუმენტური,d ɔ kʼ u m ɛ n tʼ u r i,0,დოკუმენტური,0
{geo}დოლარი,d ɔ l ɑ r i,0,დოლარი,0
{geo}დოლი,d ɔ l i,0,დოლი,0
{geo}დომინო,d ɔ m i n ɔ,0,დომინო,0
{geo}დონალდი,d ɔ n ɑ l d i,0,დონალდი,0
{geo}დონე,d ɔ n ɛ,0,დონე,0
{geo}დონეს,d ɔ n ɛ s,0,დონეს,0
{geo}დონეცკი,d ɔ n ɛ t͡s kʼ i,0,დონეცკი,0
{geo}დონით,d ɔ n i tʰ,0,დონით,0
{geo}დონის,d ɔ n i s,0,დონის,0
{geo}დონორი,d ɔ n ɔ r i,0,დონორი,0
{geo}დორა,d ɔ r ɑ,0,დორა,0
{geo}დორტმუნდი,d ɔ r tʼ m u n d i,0,დორტმუნდი,0
{geo}დოსიე,d ɔ s i ɛ,0,დოსიე,0
{geo}დოქი,d ɔ kʰ i,0,დოქი,0
{geo}დოქტრინა,d ɔ kʰ tʼ r i n ɑ,0,დოქტრინა,0
{geo}დოღი,d ɔ ɣ i,0,დოღი,0
{geo}დოყლაპია,d ɔ qʼ l ɑ pʼ i ɑ,0,დოყლაპია,0
{geo}დრაკონი,d r ɑ kʼ ɔ n i,0,დრაკონი,0
{geo}დრამა,d r ɑ m ɑ,0,დრამა,0
{geo}დრამატულად,d r ɑ m ɑ tʼ u l ɑ d,0,დრამატულად,0
{geo}დრამატული,d r ɑ m ɑ tʼ u l i,0,დრამატული,0
{geo}დრამატურგი,d r ɑ m ɑ tʼ u r ɡ i,0,დრამატურგი,0
{geo}დრაქმა,d r ɑ kʰ m ɑ,0,დრაქმა,0
{geo}დრეზდენი,d r ɛ z d ɛ n i,0,დრეზდენი,0
{geo}დრეკადი,d r ɛ kʼ ɑ d i,0,დრეკადი,0
{geo}დრო,d r ɔ,0,დრო,0
{geo}დროგამოშვებით,d r ɔ ɡ ɑ m ɔ ʃ v ɛ b i tʰ,0,დროგამოშვებით,0
{geo}დროდ,d r ɔ d,0,დროდ,0
{geo}დროდადრო,d r ɔ d ɑ d r ɔ,0,დროდადრო,0
{geo}დროებით,d r ɔ ɛ b i tʰ,0,დროებით,0
{geo}დროებითი,d r ɔ ɛ b i tʰ i,0,დროებითი,0
{geo}დროზე,d r ɔ z ɛ,0,დროზე,0
{geo}დროის,d r ɔ i s,0,დროის,0
{geo}დრომოჭმული,d r ɔ m ɔ t͡ʃʼ m u l i,0,დრომოჭმული,0
{geo}დროს,d r ɔ s,0,დროს,0
{geo}დროსტარება,d r ɔ s tʼ ɑ r ɛ b ɑ,0,დროსტარება,0
{geo}დროულად,d r ɔ u l ɑ d,0,დროულად,0
{geo}დროული,d r ɔ u l i,0,დროული,0
{geo}დროშა,d r ɔ ʃ ɑ,0,დროშა,0
{geo}დუბლინი,d u b l i n i,0,დუბლინი,0
{geo}დუელი,d u ɛ l i,0,დუელი,0
{geo}დუეტი,d u ɛ tʼ i,0,დუეტი,0
{geo}დუმილი,d u m i l i,0,დუმილი,0
{geo}დუნედ,d u n ɛ d,0,დუნედ,0
{geo}დურგალი,d u r ɡ ɑ l i,0,დურგალი,0
{geo}დუღილი,d u ɣ i l i,0,დუღილი,0
{geo}დღგ,d ɣ ɡ,0,დღგ,0
{geo}დღეები,d ɣ ɛ ɛ b i,0,დღეები,0
{geo}დღევანდელი,d ɣ ɛ v ɑ n d ɛ l i,0,დღევანდელი,0
{geo}დღემ,d ɣ ɛ m,0,დღემ,0
{geo}დღემდე,d ɣ ɛ m d ɛ,0,დღემდე,0
{geo}დღეს,d ɣ ɛ s,0,დღეს,0
{geo}დღესასწაული,d ɣ ɛ s ɑ s t͡sʼ ɑ u l i,0,დღესასწაული,0
{geo}ებრაული,ɛ b r ɑ u l i,0,ებრაული,0
{geo}ეგ,ɛ ɡ,0,ეგ,0
{geo}ეგეთი,ɛ ɡ ɛ tʰ i,0,ეგეთი,0
{geo}ეგენი,ɛ ɡ ɛ n i,0,ეგენი,0
